SEQNR,	LATITUDE,	LONGITUDE,	TIMESTAMP
0,	50.09147,	8.64314,	2018-10-30T17:07:21.102Z
1,	50.08957,	8.63909,	2018-10-30T17:07:42.102Z
2,	50.08797,	8.62271,	2018-10-30T17:09:05.102Z
3,	50.07908,	8.61701,	2018-10-30T17:10:51.102Z
4,	50.06699,	8.611,	2018-10-30T17:11:37.102Z
5,	50.05963,	8.60735,	2018-10-30T17:12:09.102Z
6,	50.05672,	8.6059,	2018-10-30T17:12:24.102Z
7,	50.04786,	8.60149,	2018-10-30T17:13:02.102Z
8,	50.03986,	8.5975,	2018-10-30T17:13:35.102Z
9,	50.0315,	8.59374,	2018-10-30T17:14:08.102Z
10,	50.02728,	8.59272,	2018-10-30T17:14:21.102Z
11,	50.01769,	8.59299,	2018-10-30T17:14:52.102Z
12,	50.01266,	8.5941,	2018-10-30T17:15:08.102Z
13,	50.00588,	8.59572,	2018-10-30T17:15:30.102Z
14,	49.99963,	8.59722,	2018-10-30T17:15:55.102Z
15,	49.98876,	8.59982,	2018-10-30T17:16:30.102Z
16,	49.98403,	8.60095,	2018-10-30T17:16:47.102Z
17,	49.97965,	8.60196,	2018-10-30T17:17:02.102Z
18,	49.97582,	8.60291,	2018-10-30T17:17:17.102Z
19,	49.96489,	8.60551,	2018-10-30T17:17:56.102Z
20,	49.95737,	8.60729,	2018-10-30T17:18:21.102Z
21,	49.95425,	8.60805,	2018-10-30T17:18:32.102Z
22,	49.95053,	8.60895,	2018-10-30T17:18:45.102Z
23,	49.94404,	8.61049,	2018-10-30T17:19:11.102Z
24,	49.93871,	8.61177,	2018-10-30T17:19:30.102Z
25,	49.93317,	8.61287,	2018-10-30T17:19:51.102Z
26,	49.92893,	8.61301,	2018-10-30T17:20:06.102Z
27,	49.92225,	8.6118,	2018-10-30T17:20:31.102Z
28,	49.91681,	8.60993,	2018-10-30T17:20:51.102Z
29,	49.91079,	8.60825,	2018-10-30T17:21:13.102Z
30,	49.90418,	8.60693,	2018-10-30T17:21:42.102Z
31,	49.89857,	8.60577,	2018-10-30T17:22:04.102Z
32,	49.88517,	8.6032,	2018-10-30T17:22:51.102Z
33,	49.88287,	8.60282,	2018-10-30T17:22:59.102Z
34,	49.87909,	8.6022,	2018-10-30T17:23:13.102Z
35,	49.87117,	8.60083,	2018-10-30T17:23:47.102Z
36,	49.83756,	8.59371,	2018-10-30T17:26:15.102Z
37,	49.834,	8.59247,	2018-10-30T17:26:29.102Z
38,	49.82179,	8.58442,	2018-10-30T17:27:17.102Z
39,	49.81884,	8.58244,	2018-10-30T17:27:29.102Z
40,	49.81611,	8.5806,	2018-10-30T17:27:39.102Z
41,	49.8109,	8.5771,	2018-10-30T17:28:02.102Z
42,	49.80261,	8.57155,	2018-10-30T17:28:35.102Z
43,	49.79309,	8.56513,	2018-10-30T17:29:14.102Z
44,	49.78379,	8.55761,	2018-10-30T17:29:50.102Z
45,	49.77779,	8.55247,	2018-10-30T17:30:14.102Z
46,	49.76894,	8.54537,	2018-10-30T17:30:48.102Z
47,	49.76099,	8.54375,	2018-10-30T17:31:15.102Z
48,	49.75751,	8.54364,	2018-10-30T17:31:27.102Z
49,	49.7479,	8.54337,	2018-10-30T17:31:59.102Z
50,	49.72532,	8.54276,	2018-10-30T17:33:22.102Z
51,	49.71882,	8.54374,	2018-10-30T17:33:45.102Z
52,	49.71088,	8.54583,	2018-10-30T17:34:12.102Z
53,	49.7054,	8.54727,	2018-10-30T17:34:30.102Z
54,	49.70255,	8.54804,	2018-10-30T17:34:40.102Z
55,	49.69962,	8.54883,	2018-10-30T17:34:50.102Z
56,	49.69626,	8.54971,	2018-10-30T17:35:06.102Z
57,	49.68195,	8.55349,	2018-10-30T17:35:55.102Z
58,	49.67903,	8.55423,	2018-10-30T17:36:06.102Z
59,	49.67134,	8.55569,	2018-10-30T17:36:32.102Z
60,	49.66628,	8.55541,	2018-10-30T17:36:50.102Z
61,	49.66001,	8.55366,	2018-10-30T17:37:16.102Z
62,	49.64767,	8.55199,	2018-10-30T17:38:06.102Z
63,	49.64143,	8.55294,	2018-10-30T17:38:30.102Z
64,	49.62777,	8.55506,	2018-10-30T17:39:19.102Z
65,	49.60674,	8.5583,	2018-10-30T17:40:23.102Z
66,	49.60158,	8.55912,	2018-10-30T17:40:39.102Z
67,	49.59446,	8.56022,	2018-10-30T17:41:06.102Z
68,	49.59028,	8.56061,	2018-10-30T17:41:20.102Z
69,	49.58726,	8.56067,	2018-10-30T17:41:30.102Z
70,	49.57338,	8.55953,	2018-10-30T17:42:14.102Z
71,	49.56664,	8.55892,	2018-10-30T17:42:36.102Z
72,	49.56134,	8.55846,	2018-10-30T17:42:55.102Z
73,	49.5502,	8.55861,	2018-10-30T17:43:32.102Z
74,	49.54785,	8.55871,	2018-10-30T17:43:40.102Z
75,	49.5407,	8.55903,	2018-10-30T17:44:04.102Z
