SEQNR,	LATITUDE,	LONGITUDE,	TIMESTAMP
0,	50.09147,	8.64314,	2018-10-30T17:15:41.350Z
1,	50.08957,	8.63909,	2018-10-30T17:16:02.350Z
2,	50.08797,	8.62271,	2018-10-30T17:17:25.350Z
3,	50.07908,	8.61701,	2018-10-30T17:19:11.350Z
4,	50.06699,	8.611,	2018-10-30T17:19:57.350Z
5,	50.05963,	8.60735,	2018-10-30T17:20:29.350Z
6,	50.05672,	8.6059,	2018-10-30T17:20:44.350Z
7,	50.04786,	8.60149,	2018-10-30T17:21:22.350Z
8,	50.03986,	8.5975,	2018-10-30T17:21:55.350Z
9,	50.0315,	8.59374,	2018-10-30T17:22:28.350Z
10,	50.02728,	8.59272,	2018-10-30T17:22:41.350Z
11,	50.01769,	8.59299,	2018-10-30T17:23:12.350Z
12,	50.01266,	8.5941,	2018-10-30T17:23:28.350Z
13,	50.00588,	8.59572,	2018-10-30T17:23:50.350Z
14,	49.99963,	8.59722,	2018-10-30T17:24:15.350Z
15,	49.98876,	8.59982,	2018-10-30T17:24:50.350Z
16,	49.98403,	8.60095,	2018-10-30T17:25:07.350Z
17,	49.97965,	8.60196,	2018-10-30T17:25:22.350Z
18,	49.97582,	8.60291,	2018-10-30T17:25:37.350Z
19,	49.96489,	8.60551,	2018-10-30T17:26:16.350Z
20,	49.95737,	8.60729,	2018-10-30T17:26:41.350Z
21,	49.95425,	8.60805,	2018-10-30T17:26:52.350Z
22,	49.95053,	8.60895,	2018-10-30T17:27:05.350Z
23,	49.94404,	8.61049,	2018-10-30T17:27:31.350Z
24,	49.93871,	8.61177,	2018-10-30T17:27:50.350Z
25,	49.93317,	8.61287,	2018-10-30T17:28:11.350Z
26,	49.92893,	8.61301,	2018-10-30T17:28:26.350Z
27,	49.92225,	8.6118,	2018-10-30T17:28:51.350Z
28,	49.91681,	8.60993,	2018-10-30T17:29:11.350Z
29,	49.91079,	8.60825,	2018-10-30T17:29:33.350Z
30,	49.90418,	8.60693,	2018-10-30T17:30:02.350Z
31,	49.89857,	8.60577,	2018-10-30T17:30:24.350Z
32,	49.88517,	8.6032,	2018-10-30T17:31:11.350Z
33,	49.88287,	8.60282,	2018-10-30T17:31:19.350Z
34,	49.87909,	8.6022,	2018-10-30T17:31:33.350Z
35,	49.87117,	8.60083,	2018-10-30T17:32:07.350Z
36,	49.83756,	8.59371,	2018-10-30T17:34:35.350Z
37,	49.834,	8.59247,	2018-10-30T17:34:49.350Z
38,	49.82179,	8.58442,	2018-10-30T17:35:37.350Z
39,	49.81884,	8.58244,	2018-10-30T17:35:49.350Z
40,	49.81611,	8.5806,	2018-10-30T17:35:59.350Z
41,	49.8109,	8.5771,	2018-10-30T17:36:22.350Z
42,	49.80261,	8.57155,	2018-10-30T17:36:55.350Z
43,	49.79309,	8.56513,	2018-10-30T17:37:34.350Z
44,	49.78379,	8.55761,	2018-10-30T17:38:10.350Z
45,	49.77779,	8.55247,	2018-10-30T17:38:34.350Z
46,	49.76894,	8.54537,	2018-10-30T17:39:08.350Z
47,	49.76099,	8.54375,	2018-10-30T17:39:35.350Z
48,	49.75751,	8.54364,	2018-10-30T17:39:47.350Z
49,	49.7479,	8.54337,	2018-10-30T17:40:19.350Z
50,	49.72532,	8.54276,	2018-10-30T17:41:42.350Z
51,	49.71882,	8.54374,	2018-10-30T17:42:05.350Z
52,	49.71088,	8.54583,	2018-10-30T17:42:32.350Z
53,	49.7054,	8.54727,	2018-10-30T17:42:50.350Z
54,	49.70255,	8.54804,	2018-10-30T17:43:00.350Z
55,	49.69962,	8.54883,	2018-10-30T17:43:10.350Z
56,	49.69626,	8.54971,	2018-10-30T17:43:26.350Z
57,	49.68195,	8.55349,	2018-10-30T17:44:15.350Z
58,	49.67903,	8.55423,	2018-10-30T17:44:26.350Z
59,	49.67134,	8.55569,	2018-10-30T17:44:52.350Z
60,	49.66628,	8.55541,	2018-10-30T17:45:10.350Z
61,	49.66001,	8.55366,	2018-10-30T17:45:36.350Z
62,	49.64767,	8.55199,	2018-10-30T17:46:26.350Z
63,	49.64143,	8.55294,	2018-10-30T17:46:50.350Z
64,	49.62777,	8.55506,	2018-10-30T17:47:39.350Z
65,	49.60674,	8.5583,	2018-10-30T17:48:43.350Z
66,	49.60158,	8.55912,	2018-10-30T17:48:59.350Z
67,	49.59446,	8.56022,	2018-10-30T17:49:26.350Z
68,	49.59028,	8.56061,	2018-10-30T17:49:40.350Z
69,	49.58726,	8.56067,	2018-10-30T17:49:50.350Z
70,	49.57338,	8.55953,	2018-10-30T17:50:34.350Z
71,	49.56664,	8.55892,	2018-10-30T17:50:56.350Z
72,	49.56134,	8.55846,	2018-10-30T17:51:15.350Z
73,	49.5502,	8.55861,	2018-10-30T17:51:52.350Z
74,	49.54785,	8.55871,	2018-10-30T17:52:00.350Z
75,	49.5407,	8.55903,	2018-10-30T17:52:24.350Z
76,	49.53145,	8.55948,	2018-10-30T17:52:53.350Z
77,	49.52346,	8.55986,	2018-10-30T17:53:23.350Z
78,	49.5202,	8.56001,	2018-10-30T17:53:34.350Z
79,	49.50629,	8.56062,	2018-10-30T17:54:24.350Z
80,	49.48717,	8.54944,	2018-10-30T17:55:31.350Z
81,	49.48128,	8.54514,	2018-10-30T17:55:53.350Z
82,	49.47686,	8.54342,	2018-10-30T17:56:08.350Z
83,	49.47217,	8.54184,	2018-10-30T17:56:25.350Z
84,	49.46585,	8.53968,	2018-10-30T17:56:50.350Z
85,	49.46179,	8.5394,	2018-10-30T17:57:03.350Z
86,	49.4569,	8.54089,	2018-10-30T17:57:22.350Z
87,	49.44703,	8.54172,	2018-10-30T17:57:59.350Z
88,	49.438,	8.54014,	2018-10-30T17:58:30.350Z
89,	49.42678,	8.54304,	2018-10-30T17:59:09.350Z
90,	49.42429,	8.5444,	2018-10-30T17:59:18.350Z
91,	49.42169,	8.54584,	2018-10-30T17:59:28.350Z
92,	49.41743,	8.54749,	2018-10-30T17:59:43.350Z
93,	49.40545,	8.54597,	2018-10-30T18:00:44.350Z
94,	49.39501,	8.54397,	2018-10-30T18:01:23.350Z
95,	49.38482,	8.5437,	2018-10-30T18:01:59.350Z
96,	49.38204,	8.54378,	2018-10-30T18:02:09.350Z
97,	49.3707,	8.54477,	2018-10-30T18:02:53.350Z
98,	49.36756,	8.54526,	2018-10-30T18:03:04.350Z
99,	49.35718,	8.54831,	2018-10-30T18:03:42.350Z
100,	49.35423,	8.54966,	2018-10-30T18:03:52.350Z
101,	49.34148,	8.55608,	2018-10-30T18:04:39.350Z
102,	49.33571,	8.55833,	2018-10-30T18:05:00.350Z
103,	49.33197,	8.56003,	2018-10-30T18:05:13.350Z
104,	49.32868,	8.56206,	2018-10-30T18:05:27.350Z
105,	49.31931,	8.57102,	2018-10-30T18:06:09.350Z
106,	49.31331,	8.57882,	2018-10-30T18:06:36.350Z
107,	49.31043,	8.58224,	2018-10-30T18:06:48.350Z
108,	49.30532,	8.58766,	2018-10-30T18:07:09.350Z
109,	49.30091,	8.59179,	2018-10-30T18:07:27.350Z
110,	49.29734,	8.59516,	2018-10-30T18:07:45.350Z
111,	49.29179,	8.60143,	2018-10-30T18:08:07.350Z
112,	49.28776,	8.6072,	2018-10-30T18:08:27.350Z
113,	49.28516,	8.61162,	2018-10-30T18:08:42.350Z
114,	49.27835,	8.627,	2018-10-30T18:34:28.350Z
115,	49.27574,	8.63525,	2018-10-30T18:34:50.350Z
116,	49.2737,	8.6434,	2018-10-30T18:35:08.350Z
117,	49.27189,	8.65666,	2018-10-30T18:35:42.350Z
118,	49.27179,	8.66344,	2018-10-30T18:35:57.350Z
119,	49.27237,	8.67136,	2018-10-30T18:36:15.350Z
120,	49.27442,	8.68325,	2018-10-30T18:36:47.350Z
121,	49.27497,	8.68685,	2018-10-30T18:36:56.350Z
122,	49.27784,	8.70552,	2018-10-30T18:37:55.350Z
123,	49.2807,	8.71783,	2018-10-30T18:38:34.350Z
124,	49.28015,	8.7235,	2018-10-30T18:38:51.350Z
125,	49.27614,	8.73558,	2018-10-30T18:39:31.350Z
126,	49.27493,	8.74291,	2018-10-30T18:39:52.350Z
127,	49.27577,	8.75728,	2018-10-30T18:40:34.350Z
128,	49.27382,	8.76478,	2018-10-30T18:41:01.350Z
129,	49.2703,	8.77391,	2018-10-30T18:41:33.350Z
130,	49.26793,	8.78285,	2018-10-30T18:42:00.350Z
131,	49.26546,	8.79598,	2018-10-30T18:42:36.350Z
132,	49.26177,	8.80567,	2018-10-30T18:43:06.350Z
133,	49.25992,	8.81218,	2018-10-30T18:43:26.350Z
134,	49.25896,	8.81715,	2018-10-30T18:43:40.350Z
135,	49.25602,	8.83669,	2018-10-30T18:44:35.350Z
136,	49.25425,	8.84198,	2018-10-30T18:44:50.350Z
137,	49.25134,	8.84977,	2018-10-30T18:45:13.350Z
138,	49.24607,	8.86443,	2018-10-30T18:45:55.350Z
139,	49.24482,	8.86953,	2018-10-30T18:46:07.350Z
140,	49.24419,	8.87321,	2018-10-30T18:46:15.350Z
141,	49.24266,	8.88242,	2018-10-30T18:46:41.350Z
142,	49.23451,	8.90094,	2018-10-30T18:47:36.350Z
143,	49.23129,	8.90467,	2018-10-30T18:47:50.350Z
144,	49.22705,	8.91719,	2018-10-30T18:48:23.350Z
145,	49.2259,	8.93041,	2018-10-30T18:48:56.350Z
146,	49.22655,	8.93623,	2018-10-30T18:49:09.350Z
147,	49.22624,	8.94281,	2018-10-30T18:49:24.350Z
148,	49.22535,	8.94597,	2018-10-30T18:49:32.350Z
149,	49.22373,	8.95198,	2018-10-30T18:49:47.350Z
150,	49.22239,	8.96258,	2018-10-30T18:50:10.350Z
151,	49.22225,	8.96721,	2018-10-30T18:50:20.350Z
152,	49.21614,	9.00848,	2018-10-30T18:51:53.350Z
153,	49.2144,	9.01984,	2018-10-30T18:52:18.350Z
