1524198202000;45.67634;8.74094;106;35
1524198203000;45.67631;8.74106;104;37
1524198204000;45.67628;8.74119;106;39
1524198205000;45.67624;8.74133;108;41
1524198206000;45.67621;8.74146;108;40
1524198207000;45.67616;8.7416;112;41
1524198208000;45.67612;8.74174;114;42
1524198209000;45.67608;8.74188;114;42
1524198210000;45.67603;8.74202;114;43
1524198211000;45.67598;8.74216;116;43
1524198212000;45.67593;8.7423;116;45
1524198213000;45.67588;8.74245;116;46
1524198214000;45.67582;8.7426;114;47
1524198215000;45.67577;8.74275;116;48
1524198216000;45.67572;8.74291;116;48
1524198217000;45.67566;8.74307;116;49
1524198218000;45.6756;8.74322;116;49
1524198219000;45.67555;8.74338;118;50
1524198220000;45.67549;8.74354;120;49
1524198221000;45.67543;8.74369;120;48
1524198222000;45.67537;8.74384;120;48
1524198223000;45.6753;8.74399;122;49
1524198224000;45.67523;8.74414;120;48
1524198225000;45.67517;8.74428;122;48
1524198226000;45.6751;8.74442;124;47
1524198227000;45.67503;8.74455;124;45
1524198228000;45.67497;8.74468;122;43
1524198229000;45.6749;8.7448;126;40
1524198230000;45.67485;8.74491;124;35
1524198231000;45.6748;8.74502;122;36
1524198232000;45.67476;8.74512;120;32
1524198233000;45.67472;8.74521;128;29
1524198234000;45.67467;8.74528;128;28
1524198235000;45.67464;8.74537;124;25
1524198236000;45.6746;8.74544;124;22
1524198237000;45.67458;8.74548;126;16
1524198238000;45.67457;8.74552;124;8
1524198239000;45.67457;8.74554;124;4
1524198240000;45.67458;8.74555;124;4
1524198241000;45.67458;8.74556;124;2
1524198242000;45.67458;8.74556;124;0
1524198243000;45.67458;8.74556;124;0
1524198244000;45.67457;8.74556;124;0
1524198245000;45.67457;8.74556;124;0
1524198246000;45.67457;8.74556;124;0
1524198247000;45.67457;8.74557;124;0
1524198248000;45.67457;8.74558;124;3
1524198249000;45.67454;8.74561;124;11
1524198250000;45.67451;8.74566;124;19
1524198251000;45.67445;8.74574;128;23
1524198252000;45.67439;8.74582;126;26
1524198253000;45.67434;8.74591;126;31
1524198254000;45.67428;8.74601;128;35
1524198255000;45.67422;8.74612;128;38
1524198256000;45.67415;8.74623;128;37
1524198257000;45.67409;8.74634;128;38
1524198258000;45.67403;8.74645;128;40
1524198259000;45.67396;8.74656;128;39
1524198260000;45.6739;8.74666;130;39
1524198261000;45.67383;8.74678;128;41
1524198262000;45.67376;8.7469;130;45
1524198263000;45.67369;8.74704;128;49
1524198264000;45.6736;8.74718;128;53
1524198265000;45.67352;8.74734;126;56
1524198266000;45.67343;8.7475;128;57
1524198267000;45.67334;8.74767;128;58
1524198268000;45.67325;8.74783;128;59
1524198269000;45.67316;8.748;128;59
1524198270000;45.67307;8.74817;128;60
1524198271000;45.67297;8.74834;128;60
1524198272000;45.67288;8.74851;128;61
