SEQNR,	LATITUDE,	LONGITUDE,	TIMESTAMP
99,	49.35718,	8.54831,	2018-10-30T15:03:56.499Z
100,	49.35423,	8.54966,	2018-10-30T15:04:06.499Z
101,	49.34148,	8.55608,	2018-10-30T15:04:53.499Z
102,	49.33571,	8.55833,	2018-10-30T15:05:14.499Z
103,	49.33197,	8.56003,	2018-10-30T15:05:27.499Z
104,	49.32868,	8.56206,	2018-10-30T15:05:41.499Z
105,	49.31931,	8.57102,	2018-10-30T15:06:23.499Z
106,	49.31331,	8.57882,	2018-10-30T15:06:50.499Z
107,	49.31043,	8.58224,	2018-10-30T15:07:02.499Z
108,	49.30532,	8.58766,	2018-10-30T15:07:23.499Z
109,	49.30091,	8.59179,	2018-10-30T15:07:41.499Z
110,	49.29734,	8.59516,	2018-10-30T15:07:59.499Z
111,	49.29179,	8.60143,	2018-10-30T15:08:21.499Z
112,	49.28776,	8.6072,	2018-10-30T15:08:41.499Z
113,	49.28516,	8.61162,	2018-10-30T15:08:56.499Z
114,	49.27835,	8.627,	2018-10-30T15:29:42.499Z
115,	49.27574,	8.63525,	2018-10-30T15:30:04.499Z
116,	49.2737,	8.6434,	2018-10-30T15:30:22.499Z
117,	49.27189,	8.65666,	2018-10-30T15:30:56.499Z
118,	49.27179,	8.66344,	2018-10-30T15:31:11.499Z
119,	49.27237,	8.67136,	2018-10-30T15:31:29.499Z
120,	49.27442,	8.68325,	2018-10-30T15:32:01.499Z
121,	49.27497,	8.68685,	2018-10-30T15:32:10.499Z
122,	49.27784,	8.70552,	2018-10-30T15:33:09.499Z
123,	49.2807,	8.71783,	2018-10-30T15:33:48.499Z
124,	49.28015,	8.7235,	2018-10-30T15:34:05.499Z
125,	49.27614,	8.73558,	2018-10-30T15:34:45.499Z
126,	49.27493,	8.74291,	2018-10-30T15:35:06.499Z
127,	49.27577,	8.75728,	2018-10-30T15:35:48.499Z
128,	49.27382,	8.76478,	2018-10-30T15:36:15.499Z
129,	49.2703,	8.77391,	2018-10-30T15:36:47.499Z
130,	49.26793,	8.78285,	2018-10-30T15:37:14.499Z
131,	49.26546,	8.79598,	2018-10-30T15:37:50.499Z
132,	49.26177,	8.80567,	2018-10-30T15:38:20.499Z
133,	49.25992,	8.81218,	2018-10-30T15:38:40.499Z
134,	49.25896,	8.81715,	2018-10-30T15:38:54.499Z
135,	49.25602,	8.83669,	2018-10-30T15:39:49.499Z
136,	49.25425,	8.84198,	2018-10-30T15:40:04.499Z
137,	49.25134,	8.84977,	2018-10-30T15:40:27.499Z
138,	49.24607,	8.86443,	2018-10-30T15:41:09.499Z
139,	49.24482,	8.86953,	2018-10-30T15:41:21.499Z
140,	49.24419,	8.87321,	2018-10-30T15:41:29.499Z
141,	49.24266,	8.88242,	2018-10-30T15:41:55.499Z
142,	49.23451,	8.90094,	2018-10-30T15:42:50.499Z
143,	49.23129,	8.90467,	2018-10-30T15:43:04.499Z
144,	49.22705,	8.91719,	2018-10-30T15:43:37.499Z
145,	49.2259,	8.93041,	2018-10-30T15:44:10.499Z
146,	49.22655,	8.93623,	2018-10-30T15:44:23.499Z
147,	49.22624,	8.94281,	2018-10-30T15:44:38.499Z
148,	49.22535,	8.94597,	2018-10-30T15:44:46.499Z
149,	49.22373,	8.95198,	2018-10-30T15:45:01.499Z
150,	49.22239,	8.96258,	2018-10-30T15:45:24.499Z
151,	49.22225,	8.96721,	2018-10-30T15:45:34.499Z
152,	49.21614,	9.00848,	2018-10-30T15:47:07.499Z
