SEQNR,	LATITUDE,	LONGITUDE,	TIMESTAMP
99,	49.13166,	6.32058,	2018-10-09T16:19:47.194Z
100,	49.12807,	6.30717,	2018-10-09T16:20:21.194Z
101,	49.12682,	6.29435,	2018-10-09T16:20:51.194Z
102,	49.12699,	6.28589,	2018-10-09T16:21:11.194Z
103,	49.12679,	6.27266,	2018-10-09T16:21:42.194Z
104,	49.16764,	6.25078,	2018-10-09T16:24:49.194Z
105,	49.18024,	6.24671,	2018-10-09T16:25:36.194Z
106,	49.19444,	6.21558,	2018-10-09T16:27:05.194Z
107,	49.20116,	6.14136,	2018-10-09T16:30:13.194Z
108,	49.20687,	6.12459,	2018-10-09T16:31:01.194Z
109,	49.20337,	6.11102,	2018-10-09T16:31:35.194Z
110,	49.19752,	6.09744,	2018-10-09T16:32:13.194Z
111,	49.1813,	6.06302,	2018-10-09T16:33:57.194Z
112,	49.18164,	6.02648,	2018-10-09T16:35:23.194Z
113,	49.18941,	5.99541,	2018-10-09T16:36:43.194Z
114,	49.19605,	5.98743,	2018-10-09T16:37:13.194Z
115,	49.20049,	5.97076,	2018-10-09T16:37:55.194Z
116,	49.19953,	5.93376,	2018-10-09T16:39:28.194Z
117,	49.19723,	5.88496,	2018-10-09T16:41:48.194Z
118,	49.18773,	5.82265,	2018-10-09T16:44:17.194Z
119,	49.18569,	5.80669,	2018-10-09T16:44:55.194Z
120,	49.18208,	5.79233,	2018-10-09T16:45:31.194Z
121,	49.17948,	5.78255,	2018-10-09T16:45:55.194Z
122,	49.16446,	5.74729,	2018-10-09T16:47:35.194Z
123,	49.15557,	5.7343,	2018-10-09T16:48:18.194Z
124,	49.15236,	5.72795,	2018-10-09T16:48:37.194Z
125,	49.14602,	5.71233,	2018-10-09T16:49:20.194Z
126,	49.14317,	5.70597,	2018-10-09T16:49:38.194Z
127,	49.13659,	5.68739,	2018-10-09T16:50:27.194Z
128,	49.1277,	5.64218,	2018-10-09T16:52:18.194Z
129,	49.12687,	5.62869,	2018-10-09T16:52:50.194Z
130,	49.12678,	5.61854,	2018-10-09T16:53:13.194Z
131,	49.12398,	5.6026,	2018-10-09T16:53:52.194Z
132,	49.11514,	5.5789,	2018-10-09T16:54:57.194Z
133,	49.11064,	5.56707,	2018-10-09T16:55:30.194Z
134,	49.11535,	5.55284,	2018-10-09T16:56:08.194Z
135,	49.11867,	5.53453,	2018-10-09T16:56:54.194Z
136,	49.11926,	5.51592,	2018-10-09T16:57:38.194Z
137,	49.11921,	5.5042,	2018-10-09T16:58:05.194Z
138,	49.12165,	5.48641,	2018-10-09T16:58:48.194Z
139,	49.12038,	5.47252,	2018-10-09T16:59:21.194Z
140,	49.11856,	5.46025,	2018-10-09T16:59:51.194Z
141,	49.11567,	5.44599,	2018-10-09T17:00:26.194Z
142,	49.10737,	5.42282,	2018-10-09T17:01:29.194Z
143,	49.11918,	5.38933,	2018-10-09T17:03:00.194Z
144,	49.10971,	5.35731,	2018-10-09T17:04:23.194Z
145,	49.10564,	5.3323,	2018-10-09T17:05:23.194Z
146,	49.1005,	5.3106,	2018-10-09T17:06:17.194Z
147,	49.09861,	5.30421,	2018-10-09T17:06:34.194Z
148,	49.09679,	5.28136,	2018-10-09T17:07:27.194Z
149,	49.09146,	5.23137,	2018-10-09T17:09:27.194Z
150,	49.09115,	5.21695,	2018-10-09T17:10:01.194Z
151,	49.08868,	5.18538,	2018-10-09T17:11:16.194Z
152,	49.08828,	5.17227,	2018-10-09T17:11:46.194Z
153,	49.09151,	5.14451,	2018-10-09T17:12:54.194Z
154,	49.09259,	5.12528,	2018-10-09T17:13:39.194Z
155,	49.09159,	5.10442,	2018-10-09T17:14:28.194Z
156,	49.09646,	5.06947,	2018-10-09T17:15:54.194Z
157,	49.09571,	5.04693,	2018-10-09T17:16:48.194Z
158,	49.09117,	5.00419,	2018-10-09T17:18:40.194Z
159,	49.07797,	4.93311,	2018-10-09T17:21:38.194Z
160,	49.07527,	4.91169,	2018-10-09T17:22:29.194Z
161,	49.07317,	4.90318,	2018-10-09T17:22:50.194Z
162,	49.07206,	4.88713,	2018-10-09T17:23:28.194Z
163,	49.07507,	4.84476,	2018-10-09T17:25:08.194Z
164,	49.07697,	4.81559,	2018-10-09T17:26:17.194Z
165,	49.07607,	4.80647,	2018-10-09T17:26:39.194Z
